term	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm
tf	True	True	overlap	1,3,4,1	0.0407	0.0407	0.0407	0.0407	0.0407	0.0407	0.4381	0.1472
tf	True	True	overlap	1,1,1,4	0.0404	0.0404	0.0404	0.0404	0.0404	0.0404	0.5198	0.1744
tfidf	False	False	cosine	1,1,1,1	0.0929	0.0929	0.0929	0.0929	0.0929	0.0929	0.5459	0.2050
tfidf	False	False	cosine	1,3,4,1	0.0701	0.0701	0.0701	0.0701	0.0701	0.0701	0.5574	0.2096
tfidf	False	False	cosine	1,1,1,4	0.0687	0.0687	0.0687	0.0687	0.0687	0.0687	0.5427	0.2040
tfidf	False	False	jaccard	1,1,1,1	0.0689	0.0689	0.0689	0.0689	0.0689	0.0689	0.5431	0.2062
tfidf	False	False	jaccard	1,3,4,1	0.0599	0.0599	0.0599	0.0599	0.0599	0.0599	0.5707	0.2246
tfidf	False	False	jaccard	1,1,1,4	0.0360	0.0360	0.0360	0.0360	0.0360	0.0360	0.4932	0.1724
tfidf	False	False	dice	1,1,1,1	0.0816	0.0816	0.0816	0.0816	0.0816	0.0816	0.5431	0.2062
tfidf	False	False	dice	1,3,4,1	0.0662	0.0662	0.0662	0.0662	0.0662	0.0662	0.5704	0.2241
tfidf	False	False	dice	1,1,1,4	0.0685	0.0685	0.0685	0.0685	0.0685	0.0685	0.4909	0.1715
tfidf	False	False	overlap	1,1,1,1	0.0730	0.0730	0.0730	0.0730	0.0730	0.0730	0.5227	0.1829
tfidf	False	False	overlap	1,3,4,1	0.0808	0.0808	0.0808	0.0808	0.0808	0.0808	0.5163	0.1791
tfidf	False	False	overlap	1,1,1,4	0.0488	0.0488	0.0488	0.0488	0.0488	0.0488	0.5226	0.1838
tfidf	False	True	cosine	1,1,1,1	0.1105	0.1105	0.1105	0.1105	0.1105	0.1105	0.6540	0.2593
